Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
German Journal of Agricultural Economics	2191-4028		2642	2015-09-08
German Life and Civilization	0899-9899		1084	2018-03-14
German Life and Letters	0016-8777	1468-0483	2052	2017-11-24
German Linguistic and Cultural Studies	1422-1454		1084	2018-03-14
German Monitor	0927-1910		143	2010-07-20
German Politics	0964-4008	1743-8993	1140	2014-03-26
German Politics and Society	1045-0300	1558-5441	2917	2016-12-08
German Quarterly	0016-8831	1756-1183	2052	2017-11-24
german research	0172-1526	1522-2322	1554	2013-07-30
German Studies in America	0171-6832		1084	2018-03-14
German Studies in Canada	0938-2704		1084	2018-03-14
German Studies Review	0149-7952		96	2017-07-05
German Visual Culture	2296-0805		1084	2018-03-14
Germanic Review	0016-8890	1930-6962	1140	2014-03-26
Germanisch-Romanische Monatsschrift	0016-8904		1893	2014-04-24
Germanistik	0016-8912	1865-9187	414	2014-04-01
Germanistik � Didaktik � Unterricht	1862-880X		1084	2018-03-14
Germanistische Lehrbuchsammlung	0721-3867		1084	2018-03-14
Germanistische Mitteilungen	0771-3703		1893	2014-04-24
Germanistische Schlaglichter - Neue Folge	1403-6142		1084	2018-03-14
Gerodontology	0734-0664	1741-2358	2050	2017-11-24
Gerontologist	0016-9013	1758-5341	1476	2017-05-30
Gerontology	0304-324X	1423-0003	242	2016-06-29
Gerontology and Geriatric Medicine		2333-7214	1403	2018-02-22
Gerontology and Geriatrics (Section 20 EMBASE)	0014-424X		30	2015-05-01
Gerontology and Geriatrics Education	0270-1960	1545-3847	1139	2014-03-26
GeroPsych	1662-9647	1662-971X	165	2016-05-12
Gerundium	2061-5132	2061-7097	1187	2015-11-17
Geschichte - Erinnerung - Politik. Studies in History, Memory and Politics	2191-3528		1084	2018-03-16
Geschichte und Kultur des modernen Vorderen Orients. History of Culture of the Modern Near and Middle East	1437-5672		1084	2018-03-13
Geschichte � Erinnerung � Politik. Studies in History, Memory and Politics	2191-3528		1084	2018-03-20
Geschichtsdidaktik diskursiv � Public History und Historisches Denken	2365-0222		1084	2018-03-14
Gesellschaft und Erziehung	1862-037X		1084	2018-03-19
Gesellschaftsforschung und Gesellschaftspolitik	0172-1267		1084	2018-03-19
Gesta	0016-920X	2169-3099	77	2017-09-08
Gestão Costeira Integrada		1646-8872	3101	2017-10-03
Gestão e Desenvolvimento	0872-556X		888	2011-03-01
Gestão e Saúde		1982-4785	913	2012-09-17
Gestin	1645-2534		860	2011-07-04
Gestión de la educación		2215-2288	1364	2014-05-02
Gestión y Ambiente	0124-177X		686	2016-07-19
Gesture	1568-1475	1569-9773	372	2016-02-22
Gesunde Pflanzen	0367-4223	1439-0345	74	2014-05-16
Gesundheit und Ökonomie	0933-5153		1084	2018-03-19
Gesundheit und Pflege		2191-3595	1423	2017-09-26
Gesundheits- und Sozialpolitik	1611-5821		1423	2013-01-29
Gesundheitsökonomie und Qualitätsmanagement	1432-2625		257	2015-04-14
Gesundheitswesen	0941-3790		257	2015-04-14
GETPol - Anais do Colóquio do Grupo de Estudos de Teoria Política		2316-9788	1345	2013-04-26
GFF	1103-5897	2000-0863	1141	2014-03-26
Gießener Arbeiten zur neueren deutschen Literatur und Literaturwissenschaft	0721-7897		1084	2018-03-14
Gifted Child Quarterly	0016-9862	1934-9041	65	2013-03-11
Gifted Child Today	1076-2175	2162-951X	65	2013-03-11
Gifted Education International	0261-4294		65	2013-03-11
GIGA Focus Afrika	1862-3603		643	2010-09-08
GIGA Focus Asien	1862-359X		643	2010-09-08
GIGA Focus Global		1862-3581	643	2012-02-20
GIGA Focus International Edition	1862-3581		643	2010-09-08
GIGA Focus Lateinamerika	1862-3352		643	2010-09-08
GIGA Focus Nahost	1862-3611		643	2010-09-08
GigaScience		2047-217X	3027	2017-05-31
Ginecologo	1827-7152	1827-7144	952	2011-02-15
Ginekologia Praktyczna		1231-6407	3007	2018-02-12
Giornale di Astronomia	0390-1106	1724-0468	774	2016-02-10
Giornale di Fisica	0017-0283	1827-6156	814	2011-05-25
Giornale di Tecniche Nefrologiche e Dialitiche	0394-9362	1724-5974	473	2016-04-28
Giornale Italiano di Dermatologia e Venereologia	0392-0488	1827-1820	2936	2016-12-16
Giornale Italiano di Endodonzia	1121-4171	1121-4171	1504	2013-05-03
Giornale Italiano di Health Technology Assessment	2035-3510	2035-6129	114	2015-07-24
Giornale Italiano di Nefrologia	0393-5590	1724-5990	473	2016-04-28
Girlhood Studies	1938-8209	1938-8322	2917	2016-12-08
Giroskopiya I Navigatsiya	2075-1087	2075-1109	141	2010-08-04
GIScience and Remote Sensing	1548-1603	1943-7226	1141	2014-03-26
GIT Labor-Fachzeitschrift	0016-3538		79	2017-11-24
GIT Spezial Separation	0016-3538		79	2017-11-24
Gizarte Ekonomia Euskal Aldizkaria	1698-7446		819	2013-05-28
Gladius	0436-029X	1988-4168	780	2017-06-27
Glasgow Mathematical Journal	0017-0895	1469-509X	2129	2014-10-09
Glass and Ceramics	0361-7610	1573-8515	74	2014-05-16
Glass Physics and Chemistry	1087-6596	1608-313X	141	2014-02-28
Glaube und Denken	0934-0785		1084	2018-03-19
Glia	0894-1491	1098-1136	2050	2017-11-24
GLIP Review		1833-4512	161	2016-11-10
Global and Planetary Change	0921-8181	1872-6364	30	2018-02-28
Global and Regional Health Technology Assessment		2284-2403	2762	2016-04-15
Global Bioethics	1128-7462	1591-7398	1200	2018-02-26
Global Biogeochemical Cycles	0886-6236	1944-9224	6	2017-11-27
Global Business and Economics Review	1097-4954	1745-1329	148	2018-05-01
Global Business and Organizational Excellence	1932-2054	1932-2062	2180	2016-04-21
Global Business Review	0972-1509	0973-0664	65	2013-03-11
Global Cardiology Science and Practice	2305-7823		1007	2013-06-14
Global Change and Human Health	1389-5702	1573-7314	74	2014-05-16
Global Change Biology	1354-1013	1365-2486	2050	2017-11-24
Global Change, Peace and Security	1478-1158	1478-1166	1140	2014-03-26
Global Constitutionalism	2045-3817	2045-3825	2128	2014-11-05
Global Credit Review	2010-4936	2301-3966	155	2014-10-29
Global Crime	1744-0572	1744-0580	1140	2014-03-26
Global Crises and the Media	1947-2587		1084	2018-03-14
Global Disclosure of Economics and Business	2305-9168	2307-9592	2099	2014-09-11
Global Discourse	2326-9995	2043-7897	1140	2014-03-26
Global Discourse: An Interdisciplinary Journal of Current Affairs and Applied Contemporary Thought	2326-9995	2043-7897	1140	2014-03-26
Global Ecology and Biogeography	1466-822X	1466-8238	2050	2017-11-24
Global Economic Review	1226-508X	1744-3873	1140	2014-03-26
Global Economy Journal		1553-5304	414	2014-04-01
Global Educational Journal of Early Childhood and Adolescent		2449-0601	2184	2015-06-03
Global Educational Journal of Library and Information Science		2449-0601	2184	2015-08-25
Global Educational Journal of Science and Technology		2465-7190	2184	2015-08-25
Global Environmental Change	0959-3780		30	2015-05-01
Global Environmental Politics	1526-3800	1536-0091	1124	2018-02-12
Global Finance Journal	1044-0283		30	2015-05-01
Global Food Security	2211-9124		30	2015-05-01
Global Health Action	1654-9716	1654-9880	2965	2017-02-15
Global Health, Epidemiology and Genomics		2054-4200	1599	2016-08-31
Global Health Promotion	1757-9759	1757-9767	65	2013-03-11
Global Heart	2211-8160		30	2015-05-01
Global Journal of Advanced Research on Classical and Modern Geometries		2284-5569	1690	2013-10-24
Global Journal of Agricultural Economics and Econometrics		2408-5499	2184	2014-12-10
Global Journal of Agricultural Economics, Extension and Rural Development		2408-5480	2184	2015-02-17
Global Journal of Agricultural Research and Reviews		2437-1858	2184	2015-03-25
Global Journal of Agriculture and Agricultural Sciences		2408-6886	2184	2015-02-17
Global Journal of Allergy		2455-8141	2636	2016-09-01
Global Journal of Anesthesiology		2455-3476	2636	2016-08-31
Global Journal of Animal Breeding and Genetics		2408-5502	2184	2014-12-10
Global Journal of Animal Science, Livestock Production and Animal Breeding		2408-5510	2184	2015-01-27
Global Journal of Anthropology Research		2410-2806	3023	2017-05-05
Global Journal of Art and Social Science Education		2437-1904	2184	2015-03-25
Global Journal of Biochemistry and Biotechnology		2465-7182	2184	2015-08-25
Global Journal of Cardiovascular and Cerebrovascular Diseases	2309-3374		1949	2014-06-04
Global Journal of Comparative Law	2211-9051	2211-906X	154	2016-01-22
Global Journal of Crop, Soil Science and Plant Breeding		2437-1866	2184	2015-03-25
Global Journal of Dairy Farming and Milk Production		2449-1861	2184	2015-07-16
Global Journal of Dermatology and Venereology		2310-998X	2413	2016-02-10
Global Journal of Economics	2251-3612	2251-3620	155	2014-10-29
Global Journal of Educational Foundation		2449-061X	2184	2015-06-03
Global Journal of Educational Studies		2377-3936	1849	2017-02-23
Global Journal of Emerging Market Economies	0974-9101	0975-2730	65	2013-03-11
Global Journal of Engineering Education	1328-3154		380	2010-09-28
Global Journal of Environmental Science and Management	2383-3572	2383-3866	2575	2015-10-08
Global Journal of Fisheries and Aquaculture		2408-5464	2184	2014-12-19
Global Journal of Flexible Systems Management		0974-0198	74	2014-09-23
Global Journal of Food Science and Technology		2408-5472	2184	2015-01-27
Global Journal of Gastroenterology and Hepatology		2308-6483	2413	2016-02-10
Global Journal of Geriatrics Nursing	2309-303X		1949	2014-06-04
Global Journal of Health Science	1916-9736	1916-9744	914	2014-07-28
Global Journal of Hematology and Blood Transfusion		2408-9877	3023	2017-05-05
Global Journal of Hospital Administration	2309-3609		1949	2014-06-04
Global Journal of Infectious Diseases and Clinical Research		2455-5363	2636	2016-08-31
Global Journal of Integrated Chinese Medicine and Western Medicine	2308-6025		1949	2014-06-04
Global Journal of Mathematical Analysis		2307-9002	2177	2014-12-04
Global Journal of Medical and Clinical Case Reports		2455-5282	2636	2016-08-31
Global Journal of Medical, Physical and Health Education		2449-1802	2184	2015-07-16
Global Journal of Medicine and Medical Sciences		2449-1888	2184	2015-08-25
Global Journal of Microbiology Research		2449-1799	2184	2015-08-25
Global Journal of Neurology and Neurosurgery		2449-1942	2184	2015-08-25
Global Journal of Nursing Research	2309-2963		1949	2014-06-04
Global Journal of Obesity, Diabetes and Metabolic Syndrome		2455-8583	2636	2016-09-01
Global Journal of Pests, Diseases and Crop Protection		2437-1874	2184	2015-03-25
Global Journal of Plant Breeding and Genetics		2449-0628	2184	2015-06-03
Global Journal of Pollution and Hazardous Waste management		2449-0598	2184	2015-06-03
Global Journal of Psychological Research	2330-913X	2334-2021	1949	2014-06-04
Global Journal of Research on Medicinal Plants and Indigenous Medicine		2277-4289	1312	2012-07-25
Global Journal of Special Education and Services		2465-7212	2184	2015-08-25
Global Journal of Technology and Optimization		2229-8711	672	2015-04-28
Global Journal of Traditional Medicine	2308-5665		1949	2014-06-04
Global Journal of Transfusion Medicine	2468-8398	2455-8893	89	2017-03-09
Global Journal of Vocational and Technical Education		2437-1890	2184	2015-05-05
Global Jurist		1934-2640	414	2014-04-01
Global Media and China	2059-4364	2059-4372	1403	2018-02-22
Global Media and Communication	1742-7665	1742-7673	65	2013-03-11
Global Media Journal		1550-7521	1345	2012-09-19
Global Media Journal - Canadian Edition		1918-5901	1260	2015-03-31
Global Mental Health		2054-4251	1599	2015-01-07
Global Meteorology		2038-9647	644	2016-11-24
Global Networks	1470-2266	1471-0374	2052	2017-11-24
Global Pediatric Health		2333-794X	1403	2018-02-22
Global Policy	1758-5880	1758-5899	2052	2017-11-24
Global Public Health	1744-1692	1744-1706	1139	2014-03-26
Global Qualitative Nursing Research		2333-3936	1403	2018-02-22
Global Reproductive Health		2473-3709	2740	2017-04-05
Global Research Journal of Education		2408-6894	2184	2015-07-16
Global Responsibility to Protect	1875-9858	1875-984X	154	2016-01-22
Global Social Policy	1468-0181	1741-2803	65	2013-03-11
Global Social Welfare		2196-8799	74	2014-09-23
Global Society	1360-0826	1469-798X	1140	2014-03-26
Global South	1932-8648	1932-8656	305	2016-11-15
Global Spine Journal	2192-5682	2192-5690	2931	2017-02-01
Global Strategy Journal		2042-5805	2052	2017-11-24
Global Studies in Education	2153-330X		1084	2018-03-14
Global Studies Journal	1835-4432		687	2016-11-16
Global Studies of Childhood		2043-6106	65	2015-02-06
Global Summitry	2058-7430	2058-7449	2704	2018-02-02
Global Tectonics and Metallogeny	0163-3171	2363-7196	749	2014-12-03
Global Trade and Customs Journal	1569-755X		258	2016-07-18
Globalisation, Societies and Education	1476-7724	1476-7732	1140	2014-03-26
Globalization and Health		1744-8603	22	2015-11-23
Globalizations	1474-7731	1474-774X	1140	2014-03-26
Glocality		2059-2949	1132	2017-02-21
Glosas Didácticas		1576-7809	1347	2012-09-14
Glossa		2397-1835	1132	2016-08-08
Glossae	0214-669X		969	2016-12-15
GLQ: A Journal of Lesbian and Gay Studies	1064-2684	1527-9375	166	2018-01-15
Glycobiology	0959-6658	1460-2423	1475	2017-05-30
Glycobiology Insights		1179-2515	163	2014-07-22
Glycoconjugate Journal	0282-0080	1573-4986	74	2014-09-16
GM Crops	1938-1999	1938-2006	1141	2014-03-26
GMS Current Posters in Otorhinolaryngology - Head and Neck Surgery	1865-1038		689	2015-03-19
GMS Current Topics in Computer and Robot Assisted Surgery	1863-3153		2263	2015-03-27
GMS Current Topics in Otorhinolaryngology - Head and Neck Surgery	1865-1011		689	2015-03-19
GMS German Medical Science - an Interdisciplinary Journal	1612-3174		689	2015-03-19
GMS German Plastic, Reconstructive and Aesthetic Surgery - Burn and Hand Surgery	2193-7052		689	2015-03-19
GMS Health Technology Assessment	1861-8863		689	2015-03-19
GMS Hygiene and Infection Control	2196-5226		689	2015-03-19
GMS Infectious Diseases	2195-8831		689	2015-03-19
GMS Interdisciplinary Plastic and Reconstructive Surgery DGPW	2193-8091		689	2015-03-19
GMS Journal for Medical Education		2366-5017	689	2016-06-03
GMS Krankenhaushygiene Interdisziplinär	1863-5245		2263	2015-03-27
GMS Medizin - Bibliothek - Information	1865-066X		689	2015-03-19
GMS Medizinische Informatik, Biometrie und Epidemiologie	1860-9171		689	2015-03-19
GMS Mitteilungen aus der AWMF	1860-4269		689	2015-03-19
GMS Onkologische Rehabilitation und Sozialmedizin	2194-2919		689	2015-03-19
GMS Ophthalmology Cases	2193-1496		689	2015-03-19
GMS Psycho-Social-Medicine	1860-5214		2263	2015-03-27
GMS Thoracic Surgical Science	1862-4006		2263	2015-03-27
GMS Verbrennungsmedizin	1869-1412		2263	2015-03-27
GMS Zeitschrift für Medizinische Ausbildung	1860-3572		689	2016-06-03
GMS Zeitschrift zur Förderung der Qualitätssicherung in medizinischen Laboratorien	1869-4241		689	2015-03-19
Gnomon		0017-1417	2857	2018-04-09
Göç Dergisi	2054-7110	2054-7129	3110	2017-10-12
Goethezeit	0172-1356		1084	2018-03-19
Gogoa	1577-9424		819	2013-05-28
Gold Bulletin		2190-7579	74	2014-09-23
Goltdammer's Archiv für Strafrecht (Goltdammer's Archives of Criminal Law)	0017-1956		2513	2015-08-19
Góndola, Enseñanza y Aprendizaje de las Ciencias.		2346-4712	2872	2016-11-25
Gondwana Research	1342-937X		30	2015-05-01
Good Society	1089-0017	1538-9731	435	2017-09-01
Görlitzer Beiträge zu regionalen Transformationsprozessen	1862-507X		1084	2018-03-14
Gospodarka Surowcami Mineralnymi		2299-2324	1851	2018-05-02
Gothic Studies	1362-7937	2050-456X	575	2016-03-15
Göttingen Journal for International Law		1868-1581	254	2010-09-02
Göttinger Schriften zum Wirtschaftsrecht	2192-2438		1084	2018-03-19
Göttinger Studien zur Entwicklungsökonomik	1439-3395		1084	2018-03-14
Governance	0952-1895	1468-0491	2052	2017-11-24
Governance in Africa		2053-4825	1132	2015-07-20
Governare la paura		1974-4935	2756	2016-04-19
Government and Opposition	0017-257X	1477-7053	2130	2014-10-09
Government at a Glance	2221-4380	2221-4399	725	2014-08-19
Government Information Quarterly	0740-624X		30	2015-05-01
GPS Solutions	1080-5370	1521-1886	74	2014-05-16
GPSolo	1520-331X		632	2011-08-12
Građevinar	0350-2465	1333-9095	3021	2017-05-03
Graduate Faculty Philosophy Journal	0093-4240	2153-9197	1000	2016-04-15
Graduate Journal of Social Science		1572-3763	1133	2016-12-16
Graefe's Archive for Clinical and Experimental Ophthalmology	0721-832X	1435-702X	74	2014-09-16
Graellsia	0367-5041	1989-953X	780	2017-06-27
Graft	1522-1628		65	2013-06-19
Grain Products and Mixed Fodder�s	2313-478X	2411-3921	2475	2017-08-14
GRAMM-R. Études de linguistique française	2030-2363		1084	2018-03-16
Grammars	1386-7393	1572-848X	74	2014-05-16
Grana	0017-3134	1651-2049	1141	2014-03-26
Granja	1390-3799	1390-8596	2207	2015-01-13
Granular Matter	1434-5021	1434-7636	74	2014-09-16
Graphene	2169-3439	2169-3471	1018	2014-11-19
Graphene and 2D Materials		2299-3134	1851	2018-05-02
Graphical Models	1524-0703		30	2015-05-01
Graphs and Combinatorics	0911-0119	1435-5914	74	2014-09-16
Grasas y Aceites	0017-3495	1988-4214	780	2017-06-27
Grass and Forage Science	0142-5242	1365-2494	2050	2017-11-24
Grassland Science	1744-6961	1744-697X	2050	2017-11-24
Gravitation and Cosmology	0202-2893	1995-0721	141	2014-02-28
Grazer Altertumskundliche Studien	0947-3157		1084	2018-03-19
Grazer Beiträge zur Europäischen Ethnologie	0945-5868		1084	2018-03-14
Grazer Philosophische Studien - Internationale Zeitschrift für Analytische Philosophie	0165-9227		143	2010-07-20
Great Plains Quarterly	0275-7664		560	2016-05-10
Great Plains Research	1052-5165		560	2016-05-10
Greece and Rome	0017-3835	1477-4550	2130	2014-10-09
Greek and Roman Musical Studies	2212-974X	2212-9758	154	2016-01-22
Greek Review of Social Research	0013-9696		2201	2016-05-05
Green	1869-876X	1869-8778	414	2014-04-01
Green and Sustainable Chemistry	2160-6951	2160-696X	1018	2014-11-19
Green Chemistry	1463-9262	1463-9270	63	2016-09-26
Green Chemistry Letters and Reviews	1751-8253	1751-7192	76	2014-03-26
Green Letters	1468-8417	2168-1414	1140	2014-03-26
Green Letters: Studies in Ecocriticism	1468-8417	2168-1414	1140	2014-03-26
Green Processing and Synthesis	2191-9542	2191-9550	414	2014-04-01
Green's Scottish Human Rights Journal	1470-8302		1082	2014-11-20
Greener Management International	0966-9671	2051-3062	1640	2013-09-05
Greenhouse Gas Measurement and Management	2043-0779	2043-0787	1141	2014-03-26
Greenhouse Gases: Science and Technology		2152-3878	2050	2017-11-24
Greifswalder theologische Forschungen	1439-1708		1084	2018-03-16
Grey Room	1526-3819	1536-0105	1124	2018-02-12
Grey Systems: Theory and Application	2043-9377		31	2018-02-16
Griffith Law Review	1038-3441		1142	2016-11-30
Großwardeiner Beiträge zur Germanistik	2194-6620		1084	2018-03-14
Grotiana	0167-3831	1876-0759	154	2016-01-22
Ground Water Monitoring and Remediation	1069-3629	1745-6592	2050	2017-11-24
Groundwater	0017-467X	1745-6584	2050	2017-11-24
Group	0362-4021	1573-3386	74	2014-05-16
Group Analysis	0533-3164	1461-717X	65	2013-03-11
Group and Organization Management	1059-6011	1552-3993	65	2013-03-11
Group Decision and Negotiation	0926-2644	1572-9907	134	2017-07-19
Group Dynamics: Theory, Research, and Practice	1089-2699	1930-7802	12	2017-10-02
Group Processes and Intergroup Relations	1368-4302	1461-7188	65	2013-03-11
Groups - Complexity - Cryptology	1867-1144	1869-6104	414	2014-04-01
Groups, Geometry, and Dynamics	1661-7207	1661-7215	478	2010-08-05
Groupwork	0951-824X	1746-6091	1489	2013-04-05
Grove - Working Papers on English Studies		2386-5431	2414	2015-07-17
Growth and Change	0017-4815	1468-2257	2052	2017-11-24
Growth Factors	0897-7194	1029-2292	1141	2014-03-26
Growth Hormone and IGF Research	1096-6374		30	2015-05-01
Grundfragen der Pädagogik	1619-246X		1084	2018-03-20
Grundlagen der Italianistik	1439-0140		1084	2018-03-14
Grundlagen Gesamte Strafrechtswissenschaft	1862-667X		1084	2018-03-16
Grundwasser	1430-483X	1432-1165	74	2014-09-16
Gruppendynamik und Organisationsberatung	1618-7849	1862-2615	74	2014-09-16
GSA Today	1052-5173		2951	2017-02-06
Guerres mondiales et conflits contemporains	0984-2292		604	2012-08-24
Guide for GPs		1505-8409	3007	2018-02-12
Guineana	1135-7924		819	2013-07-30
Guiniguada. Revista de investigaciones y experiencias en Ciencias de la Educación	0213-0610	2386-3374	2619	2016-02-16
Gulustan-Black Sea Scientific Journal of Academic Research	1987-6521	2346-7541	2667	2017-03-03
Gut	0017-5749	1468-3288	25	2017-10-09
Gut Microbes	1949-0976	1949-0984	1141	2014-03-26
Gut Pathogens		1757-4749	22	2015-11-23
GVexecutivo		1806-8979	2563	2015-10-08
Gwerddon		1741-4261	2851	2016-08-08
Gymnasium	0342-5231		1893	2014-04-24
Gymnasium: Revista de Educação Física, Desporto e Saúde		1645-3298	3169	2018-01-31
Gynaecological Endoscopy	0962-1091	1365-2508	1499	2014-03-18
Gynäkologe	0017-5994	1433-0393	74	2014-09-10
Gynäkologisch-geburtshilfliche Rundschau	1018-8843	1423-0011	242	2018-03-29
Gynäkologische Endokrinologie	1610-2894	1610-2908	74	2014-09-16
Gynecologic and Obstetric Investigation	0378-7346	1423-002X	242	2018-03-29
Gynecologic and Obstetric Review	1018-8843	1423-0011	242	2018-03-29
Gynecologic Investigation	0017-5986	2571-6603	242	2018-03-29
Gynecologic Oncology	0090-8258		30	2015-05-01
Gynecologic Oncology Case Reports	2211-338X	2211-338X	1504	2013-07-30
Gynecologic Oncology Reports	2211-338X		1504	2013-04-25
Gynecological Endocrinology	0951-3590	1473-0766	1141	2014-03-26
Gynecological Surgery	1613-2076	1613-2084	74	2014-05-16
Gynécologie Obstétrique and Fertilité	1297-9589		265	2015-06-24
Gynécologie Obstétrique et Fertilité	1297-9589		265	2015-06-24
Gynecology and Obstetrics		2161-0932	672	2015-04-28
Gyroscopy and Navigation	2075-1087	2075-1109	141	2012-03-20
H-ermes		2284-0753	1363	2014-09-25
Habis	0210-7694	2253-7686	2377	2015-07-10
Habitat International	0197-3975		2943	2017-01-10
Habitation	1542-9660		771	2011-09-30
Hacquetia		1854-9829	1851	2018-05-02
Haematologia	0017-6559	1568-5594	154	2016-01-22
Haematologica	0390-6078	1592-8721	1435	2017-06-08
Haemophilia	1351-8216	1365-2516	2050	2017-11-24
Haftungs- und Versicherungsrecht	0945-3628		1084	2018-03-16
Hague Journal of Diplomacy	1871-1901	1871-191X	154	2016-01-22
Hague Journal on the Rule of Law	1876-4045	1876-4053	74	2015-04-21
Halieutique Journal		2108-8373	1098	2011-11-09
Hallesche Schriften zur Sprechwissenschaft und Phonetik	1437-3890		1084	2018-03-13
Hallesche Sprach- und Textforschung	0941-4134		1084	2018-03-16
Hallesche Studien zu Wirtschaft und Gesellschaft	1613-463X		1084	2018-03-16
Hallym International Journal of Aging: Gerontological Research, Policies and Programs in the New Millennium	1535-6523	1541-4485	537	2015-04-08
Hamburg, Europa und die Welt	2194-301X		1084	2018-03-14
Hamburger Beiträge zur Germanistik	0930-0023		1084	2018-03-14
Hamburger Jahrbuch für Musikwissenschaft	0342-8303		1084	2018-03-13
HAMK Unlimited Scientific		2489-2939	3196	2018-02-15
Hämostaseologie	0720-9355		243	2013-03-20
Hand	1558-9447	1558-9455	65	2017-11-06
Hand Clinics	0749-0712		985	2014-01-07
Hand Surgery	0218-8104	1793-6535	155	2014-10-29
Hand Therapy	1758-9983	1758-9991	65	2013-06-24
Handbook of Business Strategy	1077-5730		31	2018-02-16
Handbook of Clinical Neurology	0072-9752		2262	2017-04-21
Handbook of Practice Management	0962-144X	2047-718X	1626	2013-08-20
Handchirurgie, Mikrochirurgie, Plastische Chirurgie	0722-1819		257	2015-04-14
Hannah Arendt-Studien	1611-1192		1084	2018-03-16
Hans Journal of Agricultural Sciences	2164-5507	2164-5523	1326	2012-09-04
Hans Journal of Biomedicine	2161-8976	2161-8984	1326	2012-09-04
Hans Journal of Chemical Engineering and Technology	2161-8844	2161-8852	1326	2012-09-04
Hans Journal of Computational Biology	2164-5426	2164-5434	1326	2012-09-04
Hans Journal of Data Mining	2163-145X	2163-1468	1326	2012-09-04
Hans Journal of Food and Nutrition Science	2166-613X	2166-6121	1326	2012-09-04
Hans Journal of Medicinal Chemistry	2331-8287	2331-8295	1326	2014-12-05
Hans Journal of Nanotechnology	2161-086X	2161-0878	1326	2012-09-04
Hans Journal of Ophthalmology	2167-6542	2167-6550	1326	2012-09-04
Hans Journal of Soil Science	2329-7255	2329-7263	1326	2014-12-09
Hans Journal of Surgery	2168-5584	2168-5576	1326	2012-09-04
Hans Journal of Wireless Communications	2163-3983	2163-3991	1326	2012-09-04
HANSER automotive	1860-5699		783	2010-08-13
Hard Tissue		2050-2303	1706	2016-02-12
Hardy Review	1934-8908	1934-8916	121	2014-01-22
Harm Reduction Journal		1477-7517	22	2015-11-23
Harmful Algae	1568-9883		30	2015-05-01
Harmonia: Journal of Arts Research and Education	1411-5115		2136	2014-11-11
Harvard Civil Rights-Civil Liberties Law Review	0017-8039	2153-2389	779	2011-01-21
Harvard Deusto Business Research		2254-6235	1545	2016-07-25
Harvard Environmental Law Review	0147-8257		779	2010-08-31
Harvard Human Rights Journal	1057-5057	1557-5624	779	2011-01-21
Harvard International Law Journal	0017-8063	2153-2494	779	2011-01-21
Harvard Journal of Law and Gender	1558-4356	0270-1456	779	2010-09-15
Harvard Journal of Law and Public Policy	0193-4872		779	2010-08-31
Harvard Journal of Law and Technology	0897-3393	2153-263X	779	2010-08-31
Harvard Journal of Sports and Entertainment Law	2153-1323		779	2011-01-21
Harvard Journal on Legislation	0017-808X	1943-507X	779	2010-08-31
Harvard Journal on Racial and Ethnic Justice	2153-1331		779	2010-08-31
Harvard Latino Law Review	1542-460X		779	2010-08-31
Harvard Law and Policy Review	1935-2077	1935-2107	779	2013-08-30
Harvard Law Record	0017-8101		1394	2012-11-21
Harvard Law Review	0017-811X		779	2010-08-31
Harvard National Security Journal	2153-1358		779	2010-08-31
Harvard Negotiation Law Review	1556-0546		779	2010-08-31
Harvard Review of Philosophy	1062-6239	2153-9154	1000	2016-04-15
Harvard Review of Psychiatry	1067-3229	1465-7309	48	2016-09-26
Harvard Theological Review	0017-8160	1475-4517	2130	2014-10-09
Hasan Âli Yücel Eğitim Fakültesi Dergisi	1304-8139		2674	2015-11-06
Hastings Center Report		1552-146X	2052	2017-11-24
Hautarzt	0017-8470	1432-1173	74	2014-09-10
hautnah		2192-6484	74	2014-09-23
Hawaii Classical Studies	1073-6050		1084	2018-03-16
Hawwa	1569-2078	1569-2086	154	2016-01-22
HAYAT	1735-2215	2008-188X	1208	2012-03-29
he International Journal of Educational Excellence		2373-5929	2614	2015-09-03
Head and Face Medicine		1746-160X	22	2015-11-23
Head and Neck	1043-3074	1097-0347	2050	2017-11-24
Head and Neck Oncology		1758-3284	1706	2016-02-12
Head and Neck Pathology	1936-055X	1936-0568	319	2016-05-11
Headache	0017-8748	1526-4610	2050	2017-11-24
Headache Currents	1743-5005	1743-5013	1499	2014-03-18
Headache Research and Treatment	2090-1909	2090-1917	100	2018-01-08
Health	1949-4998	1949-5005	1018	2014-11-19
Health Affairs		1544-5208	419	2016-02-19
Health and Justice		2194-7899	948	2015-12-22
Health and Place	1353-8292		30	2015-05-01
Health and Quality of Life Outcomes		1477-7525	22	2015-11-23
Health and Rehabilitation		2397-5482	2833	2016-07-21
Health and Social Care Chaplaincy	2051-5553	2051-5561	482	2017-06-29
Health and Social Care Education	2051-6487	2051-0888	193	2016-07-25
Health and Social Care in the Community	0966-0410	1365-2524	2050	2017-11-24
Health and Social Work	0360-7283	1545-6854	1111	2017-01-13
Health and Society (Salud & Sociedad)	2389-8038		2486	2015-09-02
Health and Technology		2190-7188	74	2014-05-16
Health at a Glance	1995-3992	1999-1312	725	2011-02-02
Health at a Glance: Asia/Pacific	2305-4956	2305-4964	725	2014-08-19
Health at a Glance: Europe	2305-607X	2305-6088	725	2014-08-19
Health Care Analysis	1065-3058	1573-3394	74	2014-09-16
