Journal Title	RoMEO Record ID	Updated
Griffith Law Review	1142	2016-11-30
Großwardeiner Beiträge zur Germanistik	1084	2018-03-14
Grotiana	154	2016-01-22
Ground Water Monitoring and Remediation	2050	2017-11-24
Groundwater	2050	2017-11-24
Group	74	2014-05-16
Group Analysis	65	2013-03-11
Group and Organization Management	65	2013-03-11
Group Decision and Negotiation	134	2017-07-19
Group Dynamics: Theory, Research, and Practice	12	2017-10-02
Group Processes and Intergroup Relations	65	2013-03-11
Groups - Complexity - Cryptology	414	2014-04-01
Groups, Geometry, and Dynamics	478	2010-08-05
Groupwork	1489	2013-04-05
Grove - Working Papers on English Studies	2414	2015-07-17
Growth and Change	2052	2017-11-24
Growth Factors	1141	2014-03-26
Growth Hormone and IGF Research	30	2015-05-01
Grundfragen der Pädagogik	1084	2018-03-20
Grundlagen der Italianistik	1084	2018-03-14
Grundlagen Gesamte Strafrechtswissenschaft	1084	2018-03-16
Grundwasser	74	2014-09-16
Gruppendynamik und Organisationsberatung	74	2014-09-16
GSA Today	2951	2017-02-06
Guerres mondiales et conflits contemporains	604	2012-08-24
Guide for GPs	3007	2018-02-12
Guineana	819	2013-07-30
Guiniguada. Revista de investigaciones y experiencias en Ciencias de la Educación	2619	2016-02-16
Gulustan-Black Sea Scientific Journal of Academic Research	2667	2017-03-03
Gut	25	2017-10-09
Gut Microbes	1141	2014-03-26
Gut Pathogens	22	2015-11-23
GVexecutivo	2563	2015-10-08
Gwerddon	2851	2016-08-08
Gymnasium	1893	2014-04-24
Gymnasium: Revista de Educação Física, Desporto e Saúde	3169	2018-01-31
Gynaecological Endoscopy	1499	2014-03-18
Gynäkologe	74	2014-09-10
Gynäkologisch-geburtshilfliche Rundschau	242	2018-03-29
Gynäkologische Endokrinologie	74	2014-09-16
Gynecologic and Obstetric Investigation	242	2018-03-29
Gynecologic and Obstetric Review	242	2018-03-29
Gynecologic Investigation	242	2018-03-29
Gynecologic Oncology	30	2015-05-01
Gynecologic Oncology Case Reports	1504	2013-07-30
Gynecologic Oncology Reports	1504	2013-04-25
Gynecological Endocrinology	1141	2014-03-26
Gynecological Surgery	74	2014-05-16
Gynécologie Obstétrique and Fertilité	265	2015-06-24
Gynécologie Obstétrique et Fertilité	265	2015-06-24
Gynecology and Obstetrics	672	2015-04-28
Gyroscopy and Navigation	141	2012-03-20
H-ermes	1363	2014-09-25
Habis	2377	2015-07-10
Habitat International	2943	2017-01-10
Habitation	771	2011-09-30
Hacquetia	1851	2018-05-02
Haematologia	154	2016-01-22
Haematologica	1435	2017-06-08
Haemophilia	2050	2017-11-24
Haftungs- und Versicherungsrecht	1084	2018-03-16
Hague Journal of Diplomacy	154	2016-01-22
Hague Journal on the Rule of Law	74	2015-04-21
Halieutique Journal	1098	2011-11-09
Hallesche Schriften zur Sprechwissenschaft und Phonetik	1084	2018-03-13
Hallesche Sprach- und Textforschung	1084	2018-03-16
Hallesche Studien zu Wirtschaft und Gesellschaft	1084	2018-03-16
Hallym International Journal of Aging: Gerontological Research, Policies and Programs in the New Millennium	537	2015-04-08
Hamburg, Europa und die Welt	1084	2018-03-14
Hamburger Beiträge zur Germanistik	1084	2018-03-14
Hamburger Jahrbuch für Musikwissenschaft	1084	2018-03-13
HAMK Unlimited Scientific	3196	2018-02-15
Hämostaseologie	243	2013-03-20
Hand	65	2017-11-06
Hand Clinics	985	2014-01-07
Hand Surgery	155	2014-10-29
Hand Therapy	65	2013-06-24
Handbook of Business Strategy	31	2018-02-16
Handbook of Clinical Neurology	2262	2017-04-21
Handbook of Practice Management	1626	2013-08-20
Handchirurgie, Mikrochirurgie, Plastische Chirurgie	257	2015-04-14
Hannah Arendt-Studien	1084	2018-03-16
Hans Journal of Agricultural Sciences	1326	2012-09-04
Hans Journal of Biomedicine	1326	2012-09-04
Hans Journal of Chemical Engineering and Technology	1326	2012-09-04
Hans Journal of Computational Biology	1326	2012-09-04
Hans Journal of Data Mining	1326	2012-09-04
Hans Journal of Food and Nutrition Science	1326	2012-09-04
Hans Journal of Medicinal Chemistry	1326	2014-12-05
Hans Journal of Nanotechnology	1326	2012-09-04
Hans Journal of Ophthalmology	1326	2012-09-04
Hans Journal of Soil Science	1326	2014-12-09
Hans Journal of Surgery	1326	2012-09-04
Hans Journal of Wireless Communications	1326	2012-09-04
HANSER automotive	783	2010-08-13
Hard Tissue	1706	2016-02-12
Hardy Review	121	2014-01-22
Harm Reduction Journal	22	2015-11-23
Harmful Algae	30	2015-05-01
Harmonia: Journal of Arts Research and Education	2136	2014-11-11
Harvard Civil Rights-Civil Liberties Law Review	779	2011-01-21
Harvard Deusto Business Research	1545	2016-07-25
Harvard Environmental Law Review	779	2010-08-31
Harvard Human Rights Journal	779	2011-01-21
Harvard International Law Journal	779	2011-01-21
Harvard Journal of Law and Gender	779	2010-09-15
Harvard Journal of Law and Public Policy	779	2010-08-31
Harvard Journal of Law and Technology	779	2010-08-31
Harvard Journal of Sports and Entertainment Law	779	2011-01-21
Harvard Journal on Legislation	779	2010-08-31
Harvard Journal on Racial and Ethnic Justice	779	2010-08-31
Harvard Latino Law Review	779	2010-08-31
Harvard Law and Policy Review	779	2013-08-30
Harvard Law Record	1394	2012-11-21
Harvard Law Review	779	2010-08-31
Harvard National Security Journal	779	2010-08-31
Harvard Negotiation Law Review	779	2010-08-31
Harvard Review of Philosophy	1000	2016-04-15
Harvard Review of Psychiatry	48	2016-09-26
Harvard Theological Review	2130	2014-10-09
Hasan Âli Yücel Eğitim Fakültesi Dergisi	2674	2015-11-06
Hastings Center Report	2052	2017-11-24
Hautarzt	74	2014-09-10
hautnah	74	2014-09-23
Hawaii Classical Studies	1084	2018-03-16
Hawwa	154	2016-01-22
HAYAT	1208	2012-03-29
he International Journal of Educational Excellence	2614	2015-09-03
Head and Face Medicine	22	2015-11-23
Head and Neck	2050	2017-11-24
Head and Neck Oncology	1706	2016-02-12
Head and Neck Pathology	319	2016-05-11
Headache	2050	2017-11-24
Headache Currents	1499	2014-03-18
Headache Research and Treatment	100	2018-01-08
Health	1018	2014-11-19
Health Affairs	419	2016-02-19
Health and Justice	948	2015-12-22
Health and Place	30	2015-05-01
Health and Quality of Life Outcomes	22	2015-11-23
Health and Rehabilitation	2833	2016-07-21
Health and Social Care Chaplaincy	482	2017-06-29
Health and Social Care Education	193	2016-07-25
Health and Social Care in the Community	2050	2017-11-24
Health and Social Work	1111	2017-01-13
Health and Society (Salud & Sociedad)	2486	2015-09-02
Health and Technology	74	2014-05-16
Health at a Glance	725	2011-02-02
Health at a Glance: Asia/Pacific	725	2014-08-19
Health at a Glance: Europe	725	2014-08-19
Health Care Analysis	74	2014-09-16
Health Care for Women International	1139	2014-03-26
Health Care Management Review	2261	2016-09-26
Health Care Management Science	74	2014-09-16
Health Care Manager	2261	2016-09-26
Health Communication	1140	2014-03-26
Health, Culture and Society	981	2014-06-02
Health Data Matrix	2261	2016-09-26
Health Economics	2050	2017-11-24
Health Economics, Policy and Law	2128	2014-10-07
Health Economics Review	948	2013-03-07
Health Education	31	2018-02-16
Health Education and Behavior	65	2013-03-11
Health Education Journal	65	2013-03-11
Health Education Research	1476	2017-05-30
Health Environments Research and Design Journal	65	2015-11-13
Health Expectations	1032	2016-10-27
Health Informatics Journal	65	2013-03-11
Health Information and Libraries Journal	2052	2017-11-24
Health Information Science and Systems	22	2015-11-23
Health Lawyer	632	2011-08-12
Health magazine, History and Health On-Line (Revista Salud, Historia Y Sanidad On-Line)	2486	2015-09-02
Health Manager	3007	2018-02-12
Health Manpower Management	31	2018-02-16
Health Marketing Quarterly	1140	2014-03-26
Health Outcomes Research in Medicine	30	2015-05-01
Health Physics	48	2016-09-26
Health Policy	30	2015-05-01
Health Policy and Education	30	2015-05-01
Health Policy and Planning	1476	2017-05-30
Health Policy and Technology	30	2015-05-01
Health Policy, Economics and Management (Section 36 EMBASE)	30	2015-05-01
Health Problems of Civilization	3007	2018-02-12
Health Promotion International	1476	2017-05-30
Health Promotion Perspectives	2922	2016-12-14
Health Promotion Practice	65	2013-03-11
Health Psychology	12	2017-10-02
Health Psychology and Behavioral Medicine	1200	2013-07-30
Health Psychology Bulletin	1132	2017-02-14
Health Psychology Open	1403	2018-02-22
Health Psychology Report	3007	2018-02-12
Health Psychology Research	644	2016-11-24
Health Psychology Review	1139	2014-03-26
Health Psychology Update	152	2016-05-20
Health Reform Observer - Observatoire des Réformes de Santé	2176	2014-12-04
Health Research Policy and Systems	22	2015-11-23
Health, Risk and Society	1139	2014-03-26
Health SA Gesondheid	971	2018-02-09
Health Science Reports	1032	2018-03-20
Health Service Journal	273	2016-11-23
Health Services and Delivery Research	809	2017-03-15
Health Services and Outcomes Research Methodology	74	2014-05-16
Health Services Insights	163	2014-07-22
Health Services Management Research	65	2013-03-11
Health Services Research	580	2017-11-24
Health Services Research and Managerial Epidemiology	1403	2018-02-22
Health Sociology Review	1139	2016-05-17
Health Statistics Quarterly	210	2015-11-23
Health Systems	210	2016-05-11
Health Technology Assessment	809	2017-03-15
Health Technology Letters	2737	2018-03-23
Healthcare	487	2016-12-14
Healthcare Food and Nutrition Focus	2261	2016-09-26
Healthcare in Low-resource Settings	644	2016-11-24
Healthcare Infection	160	2016-07-28
Healthcare Management Forum	30	2015-05-01
Healthcare Policy	404	2013-08-30
Healthcare Quarterly	404	2013-08-30
Healthcare: The Journal of Delivery Science and Innovation	30	2015-05-01
HealthcarePapers	404	2013-08-30
Healthy Aging and Clinical Care in the Elderly	163	2014-07-22
Healthy Aging Research	2934	2017-04-05
Hearing Journal	2261	2016-09-26
Hearing Research	30	2015-05-01
Heart	25	2017-10-09
Heart and Lung	30	2015-05-01
Heart and Mind	89	2017-03-09
Heart and Vessels	74	2014-09-16
Heart Asia	25	2017-10-09
Heart Failure Clinics	985	2014-01-07
Heart Failure Reviews	74	2014-09-16
Heart India	89	2017-03-09
Heart Insight	2261	2016-09-26
Heart International	2762	2016-04-15
Heart, Lung and Circulation	30	2015-05-01
Heart Rhythm	30	2015-05-01
Heart Views	89	2014-08-26
HeartRhythm Case Reports	2191	2017-07-20
Heat and Mass Transfer	74	2014-09-16
Heat Exchanger Design Updates	2372	2018-03-08
Heat Pipe Science and Technology	2372	2018-03-08
Heat Transfer - Asian Research	2050	2017-11-24
Heat Transfer Engineering	1141	2014-03-26
Heat Transfer - Japanese Research	1499	2014-03-18
Heat Transfer Research	2372	2018-03-08
Hebamme	391	2015-04-14
Hebrew Student	77	2017-09-08
HEC Forum	74	2014-05-16
Hefte zur Archäologie des Mittelmeerraums aus Bern	2386	2017-01-31
Hegel Bulletin	2130	2014-10-09
Hegel-Jahrbuch	926	2013-10-29
Hegeliana	1084	2018-03-20
Heidegger Studies	1000	2016-04-15
Heidelberger Beiträge zur deutschen Literatur	1084	2018-03-14
Heidelberger Publikationen zur Slavistik	1084	2018-03-27
Heidelberger Publikationen zur Slavistik. A, Linguistische Reihe	1084	2018-03-27
Heidelberger Publikationen zur Slavistik. B, Literaturwissenschaftliche Reihe	1084	2018-03-27
Heidelberger Studien	1084	2018-03-14
Heidelberger Studien zur Bildungswissenschaft	1084	2018-03-27
Heidelberger Studien zur Erziehungswissenschaft	1084	2018-03-27
Heidelberger Studien zur Geschichte und Kultur des modernen Vorderen Orients	1084	2018-03-14
Heilberufe	74	2014-09-16
HeilberufeSCIENCE	74	2014-09-16
Heilpädagogik online	693	2010-09-21
Heimen	2779	2018-01-19
Helgoland Marine Research	74	2014-09-16
Helicobacter	2050	2017-11-24
Helicon - Beiträge zur deutschen Literatur	1084	2018-03-14
Heliyon	2252	2017-05-22
Hellenic Journal of Surgery	74	2014-05-16
Hellenogermanica	1084	2018-03-14
Helminthologia	74	2014-05-16
Helsinki Monitor	154	2016-01-22
Helvetica Chimica Acta	580	2017-11-24
Hem-Onc	1141	2014-03-26
Hematologia	945	2012-07-13
Hematological Oncology	2050	2017-11-24
Hématologie	312	2013-04-05
Hematology	1141	2016-11-29
Hematology (Section 25 EMBASE)	30	2015-05-01
Hematology and Cell Therapy	74	2014-05-16
Hematology/Oncology Clinics of North America	985	2014-01-07
Hematology Reports	644	2016-11-24
Hemodialysis International	2050	2017-11-24
Hemoglobin	348	2013-10-29
Hemostasis Laboratory	1800	2014-03-06
Henry James Review	96	2017-07-05
HEPAC Health Economics in Prevention and Care	74	2014-05-16
Hepatic Medicine: Evidence and Research	407	2014-01-30
Hepatic Oncology	3224	2018-03-20
Hepatitis B Annual	89	2014-08-26
Hepatitis Research and Treatment	100	2018-01-08
Hépato-Gastro and Oncologie Digestive	312	2013-04-05
Hepato-Gastroenterology	257	2015-04-14
Hepatobiliary and Pancreatic Diseases International	30	2015-05-01
Hepatology	2050	2017-11-24
Hepatology Communications	1761	2017-11-21
Hepatology International	74	2014-09-16
Hepatology, Medicine and Policy	22	2016-07-21
Hepatology Research	2050	2017-11-24
Hepatoma Research	2889	2016-10-03
Herald of the Russian Academy of Sciences	141	2014-02-28
Herba Polonica	1851	2018-05-02
Hereditary Cancer in Clinical Practice	22	2015-11-23
Hereditary Genetics	672	2015-04-28
Hereditas	22	2016-11-28
Heredity	1457	2016-04-27
Herencia	1364	2012-10-23
HERESIS	1084	2018-03-20
Heritage and Society	121	2015-08-17
Heritage Science	22	2015-11-23
Hermeneutic Commentaries	1084	2018-03-20
Hermeneutics of Art	1084	2018-03-16
Hermes	3178	2018-02-06
Hernia	74	2014-09-16
Hérodote	265	2015-06-24
Heroin Addiction And Related Clinical Problems	1918	2014-05-15
Herpesviridae	22	2015-11-23
Herpetologica	153	2016-04-22
Herpetological Monographs	153	2016-04-22
Herz	74	2014-09-16
Herzschrittmachertherapie and Elektrophysiologie	74	2014-09-23
Herzschrittmachertherapie und Elektrophysiologie	74	2014-05-16
Hesperia	1009	2011-05-26
Heteroatom Chemistry	2050	2017-11-24
Heterocycles	30	2015-10-27
Heterocyclic Communications	414	2014-04-01
Heythrop Journal	2052	2017-11-24
HFES Bulletin	65	2013-03-11
HFES Proceedings	65	2013-03-11
HFSP Journal	216	2013-02-26
High Ability Studies	1140	2014-03-26
High Altitude Medicine and Biology	50	2015-03-18
High Blood Pressure and Cardiovascular Prevention	74	2014-09-23
High Energy Chemistry	141	2014-02-28
High Energy Density Physics	30	2015-05-01
High Performance Polymers	65	2013-03-11
High Power Laser Science and Engineering	1518	2013-04-16
High Pressure Research	1141	2014-03-26
High Speed Machining	1851	2018-05-02
High Temperature	141	2014-02-28
High Temperature Material Processes (An International Quarterly of High-Technology Plasma Processes)	2372	2018-03-08
High Temperature Materials and Processes	414	2014-04-01
High Temperatures-High Pressures	503	2013-10-08
Higher Ed	1084	2018-03-16
Higher Education	74	2014-09-16
Higher Education Abstracts	2081	2014-08-28
Higher Education in Europe	193	2014-03-26
Higher Education Management and Policy	725	2011-02-02
Higher Education Policy	210	2015-11-23
Higher Education Quarterly	2052	2017-11-24
Higher Education Research and Development	1140	2014-03-26
Higher Education Research and Policy	1084	2018-03-14
Higher Education, Skills and Work-based Learning	31	2018-02-16
Higher Education Studies	914	2014-08-15
Higher-Order and Symbolic Computation	74	2014-05-16
Highlights of the International Transport Forum	725	2014-08-19
Hildesheimer Schriften zur Interkulturellen Kommunikation. Hildesheim Studies in Intercultural Communication	1084	2018-03-14
HiN: Alexander von Humboldt im Netz	2778	2016-05-04
Hip International	473	2016-04-28
Hipertensión y Riesgo Vascular	990	2015-05-01
Hippocampus	2050	2017-11-24
Hispania	780	2017-06-27
Hispania Sacra	780	2017-06-27
Hispanic American Historical Review	166	2018-01-15
Hispanic Journal of Behavioral Sciences	65	2013-03-11
Hispanic Research Journal	1142	2017-04-04
Hispanic Review	574	2016-05-06
Hispanic Studies: Culture and Ideas	1084	2018-03-14
Hispano-Americana	1084	2018-03-14
Histochemical Journal	74	2014-08-27
Histochemistry and Cell Biology	74	2014-09-16
Histoire de la pensée litteraire viennoise	1084	2018-03-14
Histoire de la Poste et des Communications	1084	2018-03-14
Histoire de l�énergie/History of Energy	1084	2018-03-14
Histoire des mondes modernes	1084	2018-03-14
Histoire, économie et société	982	2017-02-20
Histoire Sociale	436	2018-04-20
Histology and Histopathology	969	2016-12-15
Histopathology	2050	2017-11-24
HiSTOReLo. Revista de historia regional y local	686	2017-09-19
Historia	3178	2018-02-06
Historia 2.0	1793	2014-02-13
Historia Agraria	969	2016-12-15
Historia Contemporánea	819	2013-05-28
Historia de la Educación. Revista Interuniversitaria	1333	2012-09-12
Historia i Polityka	1963	2014-06-27
Historia Mathematica	30	2015-05-01
Historia Philosophica, An International Journal	774	2016-02-10
Historia Religionum. An International Journal	774	2016-02-10
Historia Social y de la Educacion	2035	2014-08-05
História Unisinos	2801	2016-05-20
Historia y Política	1845	2016-02-03
Historia y Sociedad	686	2016-07-19
Historiallinen Aikakauskirja	1820	2017-12-05
Historiallis-yhteiskuntatiedollisen kasvatuksen tutkimus- ja kehittämiskeskuksen julkaisuja	1859	2014-04-15
Historian	2052	2017-11-24
Historic Environment: Policy and Practice	1140	2016-04-13
Historical Biology	1141	2014-03-26
Historical Journal	2128	2014-10-07
Historical Journal of Film, Radio and Television	1140	2014-03-26
Historical Materialism	154	2016-01-22
Historical Metallurgy	121	2014-01-22
Historical Methods: A Journal of Quantitative and Interdisciplinary History	1140	2014-03-26
Historical-Philological Journal	1604	2013-08-08
Historical Records of Australian Science	160	2016-07-28
Historical Reflections/Reflexions Historiques	2917	2016-12-08
Historical Research	2052	2017-11-24
Historical Sociolinguistics	1084	2018-03-14
Historical Studies in Industrial Relations	620	2017-08-08
Historical Studies in the Natural Sciences	107	2015-09-30
Historical Zoology	154	2016-01-22
Historically Speaking	96	2017-07-05
Histories of Anthropology Annual	560	2016-05-10
Historiographia Linguistica	372	2016-02-22
Historiography East and West	154	2016-06-23
Historisch-anthropologische Studien	1084	2018-03-14
Historisch-kritische Arbeiten zur deutschen Literatur	1084	2018-03-14
Historische Bibliographie Online	927	2013-10-29
Historische Zeitschrift	927	2013-10-29
Historisk Tidsskrift	2779	2016-05-04
History	2052	2017-11-24
History and Anthropology	1140	2014-03-26
History and Historians in the Context of the Time	1771	2014-10-10
History and Language	1084	2018-03-14
History and Memory	305	2016-11-15
History and memory (Historia y MEMORIA)	2486	2015-09-02
History and Philosophy of Logic	1141	2014-03-26
History and Philosophy of Psychology	152	2016-05-20
History and Philosophy of Science	1084	2018-03-14
History and Philosophy of the Life Sciences	74	2014-05-16
History and Sociology of South Asia	65	2013-03-11
History and Technology	1140	2014-03-26
History and Theory	580	2017-11-24
History Australia	665	2010-09-02
History Compass	2052	2017-11-24
History in Africa	2130	2014-10-09
History of Economic Ideas	774	2016-02-10
History of Education	1140	2014-03-26
History of Education Quarterly	2052	2017-11-24
History of Education Review	31	2018-02-16
History of European Ideas	30	2015-05-01
History of Geo- and Space Sciences	215	2014-06-27
History of Philosophy Quarterly	292	2014-06-10
History of Photography	1140	2014-03-26
History of Political Economy	166	2018-01-15
History of Political Thought	561	2016-03-10
History of Psychiatry	65	2013-03-11
History of Psychology	12	2017-10-02
History of Religions	77	2017-09-08
History of Schools and Schooling	1084	2018-03-14
History of Science	65	2015-09-10
History of the Family	1140	2014-03-26
History of the Human Sciences	65	2013-03-11
History of the Present	292	2016-02-12
History Research	1203	2016-09-09
History: Reviews of New Books	1140	2014-03-26
History Workshop Journal	1480	2017-01-13
Hitelintézeti szemle	1368	2013-02-13
HIV/AIDS - Research and Palliative Care	407	2014-01-30
HIV and AIDS Review	30	2017-03-24
HIV Clinical Trials	1141	2016-02-08
HIV Medicine	2050	2017-11-24
HIV Therapy	420	2017-08-04
HKIE Transactions	1141	2014-03-26
HMD Praxis der Wirtschaftsinformatik	74	2014-09-23
HNO	74	2014-09-16
Hobbes Studies	154	2016-01-22
Hodos - Wege bildungsbezogener Ethikforschung in Philosophie und Theologie	1084	2018-03-20
Högre utbildning	3018	2017-12-05
Hohenheimer volkswirtschaftliche Schriften	1084	2018-03-19
Holistic Nursing Practice	2261	2016-09-26
Holocaust and Genocide Studies	1118	2017-04-24
Holocaust Studies	1140	2015-05-05
Holocene	65	2013-03-11
HOLOS	2820	2016-06-28
Holy Land Studies	266	2017-05-04
Holzforschung	414	2014-04-01
Home Cultures	1140	2015-03-30
Home Health Care Management and Practice	65	2013-03-11
Home Health Care Services Quarterly	1139	2014-03-26
Home Healthcare Now	48	2017-04-05
Home Healthcare Nurse	48	2016-09-26
Homeopathy	30	2015-05-01
Homicide Studies	65	2013-03-11
Homily Service	193	2014-03-26
Homme et la Societe	1787	2014-03-21
HOMO	30	2015-05-01
Homo Oeconomicus	74	2017-11-13
Homoeopathic Links	391	2015-04-14
Homology, Homotopy and Applications	101	2010-09-03
Hong Kong Journal of Modern Chinese History	769	2010-08-05
Hong Kong Journal of Nephrology	30	2015-05-01
Hong Kong Journal of Occupational Therapy	30	2015-05-01
Hong Kong Journal of Social Work	155	2014-10-29
Hong Kong Journal of Sociology	769	2010-08-05
Hong Kong Physiotherapy Journal	30	2015-05-01
Hopkins Review	96	2017-07-05
HOPOS: The Journal of the International Society for the History of Philosophy of Science	77	2017-09-08
Horizons	2130	2014-10-09
Horizons in Biblical Theology	154	2016-01-22
Horizonte 21: Umwelt - Energie - Sicherheit	641	2010-08-16
Hormone and Metabolic Research	257	2015-04-14
Hormone Molecular Biology and Clinical Investigation	414	2014-04-01
Hormone Research in Paediatrics	242	2016-06-29
Hormones and Behavior	30	2015-05-01
Hormones and Cancer	32	2015-07-24
Horror Studies	409	2016-02-11
Horticulturae	487	2017-04-21
Horticulture Research	1459	2014-09-25
HortScience	765	2017-04-28
HortTechnology	765	2017-04-28
Hospital	1208	2012-03-29
Hospital Medicine Clinics	985	2014-01-07
Hospital Pharmacy	65	2018-04-09
Hospital Physician	521	2010-09-07
Hospital Topics	1139	2014-03-26
Hospitality and Society	409	2016-02-11
Houille Blanche	137	2013-02-27
Housing and Society	1140	2015-02-12
Housing, Care and Support	31	2018-02-16
Housing Policy Debate	1140	2014-03-26
Housing Studies	1140	2014-03-26
Housing, Theory and Society	1140	2014-03-26
HOW	2334	2015-06-16
How's Life?	725	2014-08-19
Howard Journal of Communications	1140	2014-03-26
Howard Journal of Criminal Justice	2052	2017-11-24
HPB	30	2015-05-01
HPB Surgery	100	2018-01-08
HRB Open Research	1546	2018-02-27
HSS Journal	74	2014-09-23
HTM Journal of Heat Treatment and Materials	783	2010-08-13
HTS Teologiese Studies/Theological Studies	971	2018-02-09
http://www.smartscitech.com/index.php/RD	2344	2015-06-22
HUGO Journal	948	2015-12-22
Huisarts en Wetenschap	1298	2014-10-10
Human	1955	2014-06-04
Human Affairs	74	2014-09-23
Human Affairs: Postdisciplinary Humanities and Social Sciences Quarterly	74	2014-05-16
Human and Ecological Risk Assessment	1141	2014-03-26
Human and Experimental Toxicology	65	2013-03-11
Human and Social Studies	1851	2018-05-02
Human Andrology	48	2017-04-05
Human Antibodies	44	2016-04-18
Human Biology	790	2013-09-06
Human Brain Mapping	2050	2017-11-24
Human Cell	1499	2014-03-18
Human-Centric Computing and Information Sciences	948	2015-12-22
Human Communication Research	2050	2017-11-24
Human-Computer Interaction	1141	2014-03-26
Human Development	242	2016-06-29
Human Dimensions of Wildlife	1140	2014-03-26
Human Ecology	74	2014-09-16
Human Evolution	74	2014-05-16
Human Factors	65	2013-03-11
Human Factors and Ergonomics in Manufacturing and Service Industries	2050	2017-11-24
Human Fertility	1141	2014-03-26
Human Figurations	1970	2014-06-10
Human Gene Therapy	50	2015-03-18
Human Genetics	74	2014-09-16
Human Genetics (Section 22 EMBASE)	30	2015-05-01
Human Genetics and Embryology	672	2015-04-28
Human Genome Variation	1459	2015-01-27
Human Genomics	22	2015-11-23
Human Genomics and Proteomics	1402	2013-08-20
Human Heredity	242	2016-06-29
Human Immunology	30	2015-05-01
Human Molecular Genetics	1475	2017-05-30
Human Movement	1851	2018-05-02
Human Movement Science	30	2015-05-01
Human Mutation	2050	2017-11-24
Human Nature	74	2014-09-16
Human Organization	1440	2013-02-25
Human Origins Research	644	2016-11-24
Human Parasitic Diseases	163	2014-07-22
Human Pathology	985	2014-01-07
Human Performance	76	2014-03-26
Human Physiology	141	2014-02-28
Human Psychopharmacology: Clinical and Experimental	2050	2017-11-24
Human Relations	65	2014-02-28
Human Remains and Violence: An Interdisciplinary Journal	2754	2017-02-03
Human Reproduction	1475	2017-05-30
Human Reproduction and Genetic Ethics	482	2017-06-29
Human Reproduction Update	1475	2017-05-30
Human Resource Development International	1140	2014-03-26
Human Resource Development Quarterly	3094	2017-09-12
Human Resource Development Review	65	2013-03-11
Human Resource Management	2052	2017-11-24
Human Resource Management International Digest	31	2018-02-16
Human Resource Management Journal	2052	2017-11-24
Human Resource Management Review	30	2015-05-01
Human Resources for Health	22	2015-11-23
Human Right Studies	1084	2018-03-16
Human Rights	632	2011-08-12
Human Rights and International Legal Discourse	1344	2016-10-06
Human Rights Case Digest	154	2016-01-22
Human Rights in Development Online	154	2016-01-22
Human Rights Law in Africa Online	154	2016-01-22
Human Rights Law Review	1480	2017-01-13
Human Rights Quarterly	96	2017-07-05
Human Rights Review	74	2014-09-16
Human Studies	74	2014-09-16
Human Systems Management	44	2016-04-18
Human Technology: An Interdisciplinary Journal on Humans in ICT Environments	2685	2016-09-26
Human Vaccines	1141	2014-09-11
Human Vaccines and Immunotherapeutics	1141	2014-09-11
Humana Civilitas	1084	2018-03-16
Humanistic Psychologist	1139	2014-03-26
Humanistica, An International Journal of Early Renaissance Studies	774	2016-02-10
HUMANITAS	1411	2013-01-16
Humanitas	3042	2018-04-30
Humanities	487	2016-12-14
Humanities & Social Sciences Reviews	3053	2017-08-01
Humanities Directory	1400	2012-12-12
Humanities Research	1514	2016-08-31
Humanity	574	2016-05-06
Humanity and Society	65	2013-06-19
Humanomics	31	2018-02-16
human_ontogenetics	1554	2013-07-30
Hume Studies	1000	2016-04-15
Humor	414	2014-04-01
Hungarian Cultural Studies	981	2016-05-17
Hungarian Educational Research Journal	1187	2015-11-17
Hungarian Journal of English and American Studies	1189	2012-03-06
Hungarian Journal of Surgery	365	2016-06-07
Hungarian Medical Journal	365	2016-06-07
Hungarian Studies	365	2016-06-07
Hungarica Acta Physica	74	2014-05-16
Hunter Gatherer Research	620	2017-08-08
Huntington Library Quarterly	574	2016-05-06
Husserl Studies	74	2014-09-16
HVAC&R Research	1605	2017-04-21
Hybrid Materials	1851	2018-05-02
Hybrid Methods in Engineering	2372	2018-03-08
Hybridoma	50	2015-03-18
HYBRIS	1520	2013-04-18
Hydrobiologia	74	2014-09-16
Hydrobiological Journal	418	2018-03-08
Hydroécologie Appliquée	137	2013-02-27
Hydrogels	1851	2018-05-02
Hydrogeology Journal	74	2014-09-16
Hydrological Processes	2050	2017-11-24
Hydrological Sciences Journal	1141	2014-03-26
Hydrology	487	2016-12-14
Hydrology and Earth System Sciences	185	2011-08-12
Hydrology and Earth System Sciences Discussions	185	2014-07-04
Hydrology Research	236	2018-05-02
Hydrometallurgy	30	2015-05-01
Hygiea Internationalis	1656	2013-09-24
Hypatia	2052	2017-11-24
Hyperboreus	2857	2018-04-09
Hyperfine Interactions	74	2014-09-16
Hypertension	2899	2016-11-16
Hypertension in Pregnancy	1141	2014-03-26
Hypertension Research	1457	2016-04-18
Hypoxia	407	2014-01-30
Hypoxic Signaling	407	2014-01-30
Hystrix, the Italian Journal of Mammalogy	2675	2015-09-16
i-com	927	2013-10-29
i-JMR	2600	2016-12-19
i-Perception	1402	2015-09-28
I-VW Schriftenreihe	1084	2018-03-16
I-Ways	44	2016-04-18
IAFOR Journal of Arts and Humanities	2145	2016-11-25
IAFOR Journal of Asian Studies	2145	2016-11-25
IAFOR Journal of Business and Management	2145	2016-11-25
IAFOR Journal of Cultural Studies	2145	2016-11-25
